text,label
mas anis kemarin dapat uang pinjam dari siapah saat pilpres,0
mas anis mas anis,0
mas anis perubahan nyah sendiri ajah ya,0
juta lapangan perkerjaan juta hektar lahan di tebang,0
anies condong ke as barat prabowo ganjar condong ke tiongkok,0
kalo saya ada salah pak anies pak prabowo subianto pak ganjar saya mntak maaf sebesar besarnya bismillah aamiin yra alamin ya allah aamiin,0
kebanyakan yapping,0
i like no,0
cara pk anis menyampaikan pun sudah cerdas,1
jadi pengen bslik kesini liat kecerdasan pk anis,1
yg tengah kek bocah,0
bro single handling saying every fact about indonesia,0
debat capres aja yang gak bermutu sudah ketauan,0
prabowo el yapping,0
awal mula prabowo meledek mas anies,0
prabowo ga tau aturan,0
liat komen komen nya agak ngakak wakakaka,0
datang ke sini lagi berhubung keadaan sekarang yang kek gitu,0
dateng kesini lg hiburan ditengah keributan demo,0
udah nyesel belom pilih nomor,0
tanggung jawab woy kalian para pemilih yang ga pake akal cuma modal joget,0
andai pak ganjar,0
wkwk komennya miris semuaa,0
nyesel mili prabowo,0
sekarang lg pengen nonton ini,0
wihh balik lagi kesini saya sekarang kalau lihat debat gini baru ngerasa kata yang paling relate dan masuk akal pak anis pdhl ada capres yang bilang omon omon eh tapi ternyata sekarang malah dia menelan ludahnya sendiri,0
anis omdo pinter ngomong kerja enggak bisa pak faktanya anda sudah kalah waktu jadi gubernur kalau ditanya soal duit ke mana oh iya kelebihan bayar rekam jejak mu sudah nampak pak anis,0
mas anis mas anis,0
,0
,0
,0
relate sama masalah tambang raja ampat yang lagi rame,0
,0
udah setahun nih belum kelihatan kinerjanya si wowo mbg nya malah banyak masalah,0
itu kan dulu kak semua orang belum tau aslinya kaya gimana,0
bener,0
tapi dulu pak anies di hujat parah banget by the way aku dukung paslon amin,0
anak abah,0
moray bangga gua jd anak abah,0
preettt,0
ruslanfaqot nah ini dia orang yg milih modal joget karena akalnya dah dijual ke olx,0
prabowo omon,0
banyak bgt buzzer heran,0
testt,0
,0
,0
wadas bagaimana njar,0
hay aku datang dr masa depan indonesia mau hancur karena wowo,0
siapa yg nonton lagi di bulan puasa wkwkwk,0
ndasmu,0
apakabar sekarang,0
klo diliat sekarang krasa bgt omongan debatnya pda niruin pak anies,0
bapak prabawo dan bapak gibran pasangan yang hebat luar biasa,1
meskipun sudah berlalu tapi prabowo gemoy di hati rakyat,0
anis ngomong nya manis banget kata pepatah sih kalau awal nya ke goda dengan mulut manis malah suka pait ujung nya kalau ganjar sih orang cerdas di dalam memimpin keluarga nya,1
backsound yg dipakai judulnya apa ya pas waktu para capres masuk ke ruangan,0
betul janggan pelit,0
allhamdullilah bapaku menang,1
bnyak cakap kau sumut kau berkunjung fmn,0
betulll bangettttttt,0
amiiinnn,0
,0
saya nikahkan achmad choiri heri hori sudartik munandar ismunandar oyama bin nurdzubaidah sudarsono samidi ahmari bin sukur samsoeri dengan mas kawin seperangkat alat sholat uang tunai juta tunai,0
saya nikahkan achmad choiri heri hori sudartik ismunandar munandar oyama bin nurdzubaidah sudarsono samidi ahmari bin sukur samsoeri dengan mas kawin seperangkat alat sholat uang tunai juta di bayar tunai di bayar tunai,0
nur rachmat endang jumair usnanun zunanun syafi i sukardiyah wito totok zaini tuginem subarinoto sabar soetoyo djamana katrin pardi sumeh ngadimun suparjiyem sapik sumiati paijan khotim,0
nur rachmat endang jumair usnanun zunanun syafi i sukardiyah wito totok zaini tuginem subarinoto sabar soetoyo djamana katrin pardi sumeh ngadimun suparjiyem sapik sumiati paijan khotim,0
capres no capres no capres no,0
terima kasi pa prbowo karena banyak memikirkan orang kecil apa lagi di papuwa yang masi rawan arus di perjuwang kan sepenuh nya,0
biassa anies muter muterr kalau d tyk omon kenyataaan nol,0
,0
,0
,0
,0
gempa bumi jakarta stres,0
,0
,0
,0
,0
,0
,0
saya nikahkan achmad choiri heri hori sudartik munandar ismunandar oyama bin nurdzubaidah sudarsono samidi oyama dengan mas kawin seperangkat alat sholat uang tunai juta tunai,0
,0
,0
,0
,0
,0
,0
thilthianghlimkanhmuloahcunzeidahdancuherhta,0
,0
,0
,0
h anies rasyid baswedan s e m p p ph d jenderal tni hor purn h prabowo subianto djojohadikusumo raden ganjar pranowo sosrodiharjo s hum s sos i m i kom m sos i,0
asad aqbal asad aqbal wahi asad mai,0
bella bel,0
apa urusan parabobo propinsi gejer sepecalonanmu,0
iooooiu,0
pak frabowo semangat,0
anies memang cerdas,1
kasih beras gratis,0
kebanyakan senyum dan tertawa paslon pantes kurang wibawa untuk menjadi pemimpin indonesia cengengesan,0
dari dulu hukum itu tajam kebawa tumpul ke atas pak klw bapak mau rubah itu itu artinya klw pencuri akan kehilangan tangan nanti aja kita lihat semoga saya panjang umur bapak juga panjang umur saya mau lihat bapak akan merubah apa di nkri yg tercinta ini,0
,0
saya tetap pilih amin,0
tetapp pak prabowoo,0
mmng ada jiwa pmimpin sma pk gnjarrr apa pn prtaii ny,0
lamalama anies makin ganteng aja,0
