"text,label"
"mas anis kemarin dapat uang pinjam dari siapah saat pilpres,0"
"mas anis mas anis,0"
"mas anis perubahan nyah sendiri ajah ya,0"
"juta lapangan perkerjaan juta hektar lahan di tebang,0"
"anies condong ke as barat prabowo ganjar condong ke tiongkok,0"
"kalo saya ada salah pak anies pak prabowo subianto pak ganjar saya mntak maaf sebesar besarnya bismillah aamiin yra alamin ya allah aamiin,0"
"kebanyakan yapping,0"
"i like no,0"
"cara pk anis menyampaikan pun sudah cerdas,1"
"jadi pengen bslik kesini liat kecerdasan pk anis,1"
"... [data asli lainnya tetap sama] ..."
"prabowo luar biasa,1"
"pak anis sumur gimana kabarnya,0"
"seng pnting kerja jujur berantas korupsi bisa melindungi rakyat jgn cm omongg aja,0"
"prabowo santun,0"
"anis itu dosen besar jikalau tidak bisa jalur bicara nya cara tdk kalah bicara ga bakalan bisa ngajarin anak buahnya dong,0"
"maju pak anis,0"
"tolong jika masih ada pertanyaan jangan mengabaikan pekerjaan migra indonesia,1"
"prabowooo,0"
"kami butuh kejujuran bukan janji semata,0"
"geblek tambah geblek sekesai kalian simpatik,0"
"saya kasih tau pak ginanjar anda sampai kemajuan tapi daerah anda aja ngak maju,0"
"ngak masuk lgi pak prabowo misi anda ituuu sudah kadaluasa pak,0"
"orang cerdas dan bijak pasti pilih prabowo,1"
"semanggat pak prabowo,0"
"di taiwan beritanya paling heboh prabowo gibran,0"
",0"
"sekarang hati saya pindah ke pak prabowo gibrang di kroyok gk papa pak yang penting tgl nanti pasti menang,1"
"kmi dukung prabowo pak gibran,1"
"bismillah ganjar mahfud menang,1"
"prabowo ok maju pk prabowo,0"
"coba cari calon lain,0"
"pemimpin yg tegas jiwa bpk prabowo sangat tegas tidak pernah menjatuhkan satu sama lain terus berjuang yakin jatim suara untuk no prabowo gibran pantang tunduk kepala,1"
"prabowo kok ngmok,0"
"doa terbaik mudahan siapapun orang nya mudahan bisa membuat ekomomi lebih baik amin roballamin,1"
"anis teori gedabrus omong kosong,0"
"mantap bp prabowo kmi mendukung mu,1"
"parabowo,0"
"insyaallah amin,0"
"dari panggung ini kita dapat mengenal mana capres yang mampu menguasai panggung dengan pendapat dan solusi yang luar biasa semoga allah memberi kita pemimpin yang amanah amin,1"
"siapapun yang terpilih pikirkan kami nakes yang masih bersetatus tks khusus nya di lampung utara,0"
"ganjar love u,0"
"siapapun president nya semua baik yg penting amanah,1"
"prabowo slalu di hati,0"
"prabowo pasti menang semangat pak,1"
"yg di brantas ya kelurga cendana itu di usut mbahwo,0"
"pak prabowo sungguh dewasa sesuai dgn usia bliyau banget yaa pak ganjar jeniusnya sangat ada pak anies bliyau sangat ahli pandai menyusun setiap perkataannya,0"
"melet nis,0"
"like ini khusus all in pa prabowo,0"
"bravooo prabowoo,0"
"penyokong taksub,0"
"saya anak petani dari brebes harga mahal puouknya susah di cari pas panen murah harganya tolong para petani pa,0"
"jujur aja pak prabowo berapa orang kamu culik selama hidupmu jawab,0"
"mana serangan pajar yah wkwkwk,0"
"sangat rame sukses sllu,0"
"golput aja lah,0"
"sayang kakek bowo yg di buat gk brdaya coba anis yg di bikin gak brdaya saya yakin prsen gk akan seheboh dan sepanik ini pak lurah,0"
"apa yg di pikirka probowo sebetul nya sy pusing liak,0"
"jepol pak anis luar biasa kata yang kita papar kan,1"
"pak anis bagus jawaban pertanyannya tepak dan akuraf saya bangga liak pak,1"
"p,0"
"banyakkk ngomong juga anissss,0"
"tp kenyataannya banyak sekali penindasan bagi kaum minoritas di daerah jawa sana pak bahkan sampai viral penindasan itu,0"
"maaf kalo masalah papua ganjar dn anis hanya tau bicara saja pak prabowo lebih paham atas semua itu kenapa sya menyatakan seperti itu karna sy adalah orang papua,0"
"smangat pak prabowo,0"
"padu pak anies,0"
"prabowo prabowo,0"
"pak prabowo berkata dengan jujur tanpa ada hati yang buruk,0"
"pak anies atitude nya baik amin,1"
"materi perangkaian kata pa anis sangat bagus sampe bingung itu kata kata manis atau apa,1"
"bissmillah pk anis amin,0"
"pilih calon pemiyyang tidak ada utang,0"
"all in prabowo,0"
"aku tetap pak prabowo semoga menjidi pemipin yang amanh dan di beri kesehatan kesejaterahan amin yak allah,0"
"kami sekeluarga siap mendukung pak probowo pak probowo kami siap mendukung,1"
"apa bahan ekonomi naik semuanya pak,0"
"siapapun yang menjadi pemimpin saya do a yang terbaik,1"
"yg heran dlm debat ini kenapa harus saling menjatuhkan pak anis pak anis gimana rakyat bisa percaya klo pemimpin kita saja saling menjatuhkan dan mejelek an makun yakin pak prabowo yg lebih baik dan tidak pernah menjatuhkan lawannya,1"
"all in prabowo,0"
"buktinya di daerah lain yg ada di indonesia masih byak umat minioritas yg dilarang membangun tempat ibdh,0"
"salam dari anak rantau dubbai pak prabowo saya dukung bpk perabwo bpk sprtinya tulus saya siap dukung bapak,1"
"rakyat indonesia pandai memilih kliatan ketulusan dari muka,0"
"anis kosong,0"
"pak anis kata katanya manis,0"
