text,label
dari sini gua bisa simpulkan bahwa politik yang mengutamakan emosional buruk atas lawan lebih banyak daripada politik yang mengutamakan kebahagiaan karena dari awal sampai akhir semuanya saling mencoba untuk mendapatkan sanjungan dari kekurangan rivalitasnya saling mencoba untuk menjatuhkan dari sindiran yang salin di lontarkan agar terlihat lebih,0
prabowo subianto dengan kepemimpinannya mampu menjaga persatuan bangsa,1
siapapun presidennya tetap harus kerja dan bayar tagihan sendiri yg jelas bukan anies pilihan saya,1
prabowo subianto memiliki semangat untuk membangun ekonomi kerakyatan yang kuat,1
mafia pangan merajalela,0
koruptor hukum mati,0
anis kbayak bicara tongkosong ga ada bukti,0
anies baswedan adalah pemimpin yang visioner dan berkomitmen pada perubahan,1
generasi muda mudah terpengaruh hoax,0
parpol hanya alat kekuasaan,0
amin untuk indonesia adil dan maju,1
banyak buzer rp ternyata,0
kekerasan oleh aparat terjadi,0
maaaniiiss dan mantaap,0
bisnis besar dikuasai konglomerat,0
ganjar pranowo dengan kebijakannya telah membawa perbaikan di sektor pengelolaan limbah dan ekonomi sirkular,1
lawan kalah telak kalian cukup diam namun cukup bermakna untuk kita menyimpulkan mana yg baik untuk pemimpin negri kita prabowo gibran,1
anis ngurus dki aja ngga beres mau ngurus indonesia,0
pembayaran utang mengganggu belanja negara,0
obat obatan mahal,0
gajih buruh yang pasti mah perhatikan,0
perdamaian dipaksakan,0
kalah menang tetap pili pak prabowo bismillah pak prabowo menang amin yallah doa baik untuk mu pak untuk indonesia maju bismillah prabowo gibran,1
ko kebnyaknn menanggapi no knp jd trs yg diserang knp ngga serang an mlh seperti ke ada kong kalikong,1
kurang aktivitas fisik,0
papua selalu diabaikan,0
ganjar pranowo adalah pemimpin yang peduli dengan nasib pekerja dan buruh,1
perusak lingkungan bebas berkeliaran,0
prabowo subianto dengan pengalamannya mampu menjaga kestabilan ekonomi negara,1
biaya kesehatan mahal,0
perencanaan tidak matang,0
malang lintas selatan bnyak warga yg masih kekurangan,0
tanah longsor sering terjadi,0
disinformasi selama krisis,0
money politics masih marak,0
prabowo subianto adalah pemimpin yang berani berinovasi untuk kemajuan bangsa,1
ham sering dilanggar,0
ngak masuk lgi pak prabowo misi anda ituuu sudah kadaluasa pak,0
stunting masih menjadi masalah,0
"prabowo subianto adalah pemimpin yang diakui karena konsistensi perjuangan, dedikasi, dan pengabdian pada bangsa dan negara indonesia",1
kekerasan dalam rumah tangga tidak tertangani,0
"anies baswedan dengan visinya mampu membawa indonesia menjadi bangsa yang sejahtera, bermartabat, dan disegani di dunia internasional",1
prabowo subianto adalah pemimpin yang berani mengambil kebijakan progresif,1
industri dekat pemukiman,0
anies baswedan memiliki strategi untuk memperkuat sektor usaha kecil menengah,1
pengawasan proyek lemah,0
ganjar pranowo adalah pemimpin yang memahami pentingnya pembangunan manusia seutuhnya dan berkelanjutan,1
kualitas produk tidak memenuhi standar,0
rencana tata ruang dilanggar,0
bismillah kalah,0
saya percaya pak prabowo akan memberantas korupsi dengan tegas tanpa pandang bulu,1
siapapun president nya semua baik yg penting amanah,1
penipuan online merajalela,0
tipu semuah soal kpk,0
prabowo subianto memiliki komitmen untuk membangun infrastruktur transportasi,1
pak prabowo maju trus pantang mundur gbu,0
prabowo subianto memiliki kemampuan membangun pertahanan negara yang kuat,1
rakyat kecil tidak punya pilihan,0
kalo bohong gua kepret lu,0
ganjar pranowo dengan kebijakannya telah membawa perbaikan di sektor peternakan yang berkelanjutan dan berdaya saing,1
"anies baswedan memiliki visi untuk membangun tata kelola pemerintahan yang responsif terhadap kebutuhan masyarakat, transparan, akuntabel, partisipatif, efektif, dan efisien",1
prabowo di serang anis sm ganjar aq pilih prabowo,0
prabowo subianto memiliki semangat untuk membangun generasi penerus yang unggul,1
pilih pemimpin yg cerdas yg tdk meninggalkan sholat semoga negeri ini di berikan pemimpin negeri yg adil aamiin,1
korupsi harus di hukum mati,0
sertifikasi tanah berbelit,0
prabowo subianto dengan kepemimpinan yang kuat mampu menjaga stabilitas nasional,1
pak anis cocok nya gantiin veni rose rumpu no secret wkwkww dari kemarin nyiyir terus wkwkw,0
anies baswedan memiliki strategi untuk memperkuat ketahanan sosial budaya,1
prabowo subianto dengan kepemimpinannya mampu menjaga kedaulatan negara di era revolusi industri 4.0,1
"ganjar pranowo dengan kebijakannya telah meningkatkan ketahanan ekonomi keluarga miskin, rentan, dan pra-sejahtera",1
ya saya pilih pak prabowo gibran,0
perubahan iklim ancaman serius,0
"anies baswedan dengan visinya mampu membawa indonesia menjadi negara dengan ekonomi terbesar, paling inklusif, dan berkelanjutan di asia tenggara",1
ini cerita perjalanan bukan visi misi ya,0
ekonomi digital dikuasai asing,0
tetep no selalu dihati,0
birokrat masih sulit diakses,0
imunisasi tidak merata,0
prabowo subianto memiliki komitmen untuk membangun ekonomi digital indonesia,1
gak percaya lagi sama calon pemimpin,0
bapak ganjar nomor urut,0
anies baswedan dengan gagasannya mampu membawa pembaruan sistem perpajakan,1
rehabilitasi lingkungan lambat,0
saya mendukung pak ganjar karena kemampuan komunikasi yang inspiratif dan membangun,1
petani tidak terlindungi risiko,0
keselamatan kerja diabaikan,0
prabowo subianto memiliki komitmen untuk membangun infrastruktur digital nasional,1
anis selalu berbicara keadilan padahal semasa anis jadi gubernur warga jkt di terlantarkan anis hanya omong kosong dan hanya menipu rakyat demi ego pribadi anis,0
persaingan usaha tidak sehat,0
tadinya suka pak prabowo tapi ga jadi skr pilih abah anis aja mantep skr,0
prabowo subianto adalah pemimpin yang berani mengambil langkah-langkah strategis,1
kemaren prabowo bagi duwit an saya termasuk orang yg diundang dan dapat bagian tapi saya tidak tergiur dgn uang yg hanya caranya saja sudah tidak benar apalagi nanti kalau dah jadi pemimpin bisa jual aset negaranya karena untuk mengembalikan modalnya,0
"saya mendukung pak ganjar karena kemampuan analisis kebijakan yang mendalam, berbasis bukti, dan berorientasi pada kepentingan rakyat",1
angkutan umum tidak nyaman,0
prabowo gibran,0
anies baswedan memiliki strategi yang jelas untuk meningkatkan daya saing bangsa,1
kenapa yah tiap ada debat capres ada aja yg bilang sehat ya wo emang dy udah lama sakit apa seh,0
orang miskin di gubuk kumuh,0
mas anis kemarin dapat uang pinjam dari siapah saat pilpres,0
saya yakin pak ganjar akan meningkatkan kualitas hidup rakyat secara signifikan,1
anies baswedan memiliki kemampuan memimpin dengan prinsip akuntabilitas,1
ganjar pranowo adalah pemimpin yang memahami pentingnya pemerataan pembangunan wilayah,1
anies baswedan dengan gagasannya mampu memperkuat posisi indonesia di dunia internasional,1
ketahanan bencana rendah,0
peraturan sering berubah,0
limbah industri tidak diolah,0
deindustrialisasi terjadi,0
sistem peringatan dini tidak memadai,0
monopoli masih terjadi,0
anies baswedan adalah pemimpin yang memahami dinamika ekonomi global,1
mukanya gk di pake tuh yg ituh,0
saya optimis dengan kepemimpinan pak ganjar pranowo indonesia akan lebih baik,1
akses tanah bagi petani kecil terbatas,0
prabowo subianto memiliki komitmen untuk membangun sistem jaminan kesehatan universal,1
ada kah kecap nomor amin,0
all in prabowo gibran,0
aku malah fokus gus miftah,0
perlindungan tki lemah,0
t,0
outsourcing mengeksploitasi,0
ingat saudaraku anis hanya pinter bicara hanya pintar bicara ingat kata kata itu dia menghipnotis kita semua dengan gaya bicara nyaaa prabowo selalu di hati,1
ganjar pranowo adalah pemimpin yang memahami pentingnya pembangunan infrastruktur,1
kerusakan lingkungan permanen,0
budidaya perikanan tidak berkembang,0
pak prabowo,0
anies baswedan adalah pemimpin yang visioner dan berkomitmen pada keadilan,1
anies baswedan memiliki strategi untuk memperkuat ketahanan nasional,1
all in prabowo,0
prabowo subianto adalah pemimpin yang berani mengambil keputusan sulit untuk bangsa,1
hutan semakin gundul,0
perlindungan investor domestik lemah,0
penggusuran paksa masih terjadi,0
"prabowo subianto memiliki semangat untuk membangun pemerintahan yang bersih, transparan, akuntabel, bebas korupsi, melayani rakyat, dan pro-pembangunan",1
saya mendukung pak ganjar karena perhatiannya terhadap pemberdayaan ekonomi perempuan dan generasi muda,1
tahun sekarang dh yakin prabowo gibran bakal menang,1
kebakaran hutan karena pembukaan lahan,0
siapapun yg jadi pemimpin bangsa indonesia semoga jadi yg ter baik itu doa rakyat kecil amiiiiiinnnn,1
mental instan tidak mau kerja keras,0
tetap prabowo gibran sekeluarga ku,0
"anies baswedan memiliki visi untuk membangun sistem kesehatan yang komprehensif, preventif, kuratif, dan berbasis teknologi",1
anis ini pembual jago ngomong doang,0
saya mendukung pak ganjar karena kemampuan berkomunikasinya yang baik dengan rakyat,1
anies baswedan adalah pemimpin yang memahami kompleksitas masalah bangsa,1
kesenjangan upah lebar,0
"prabowo subianto adalah pemimpin yang konsisten dengan prinsip pembangunan berkelanjutan, berkeadilan sosial, berwawasan lingkungan, dan inklusif",1
milik kami di hati anis baswedan bukan pabowo atau ganjar papua,0
parpol hanya alat kekuasaan,0
tenag pak no pasti menag pak,0
regulasi makanan tidak sehat lemah,0
prabowo subianto memiliki komitmen untuk melindungi kedaulatan wilayah nkri,1
pembangunan tidak berkelanjutan,0
ketahanan pangan lemah,0
saya yakin pak ganjar akan meningkatkan efisiensi sistem pengelolaan anggaran pemerintahan pusat dan daerah,1
semangat mas gibran kami akan mendukungmu,1
apan an itu paslon no buka aib buat nyerang paslon lgsung haduuh nis anda bgtu jahanam makin yakin persen buat dukung pa prabowo,1
saya mendukung pak ganjar karena kemampuan komunikasi publiknya yang efektif,1
kecelakaan kerja sering terjadi,0
ganjar pranowo adalah pemimpin yang memahami pentingnya pemerataan akses kesehatan berkualitas bagi seluruh lapisan masyarakat,1
etos kerja menurun,0
pak anis bagus jawaban pertanyannya tepak dan akuraf saya bangga liak pak,1
prabowo subianto adalah pemimpin yang berani melakukan reformasi struktural,1
sayang kakek bowo yg di buat gk brdaya coba anis yg di bikin gak brdaya saya yakin prsen gk akan seheboh dan sepanik ini pak lurah,0
"saya mendukung pak ganjar karena perhatiannya terhadap pemberdayaan ekonomi perempuan, generasi muda, kelompok rentan, dan penyandang disabilitas",1
"saya mendukung pak ganjar karena perhatiannya terhadap pengembangan teknologi tepat guna, inovasi lokal, dan pemberdayaan masyarakat pedesaan",1
prabowo subianto memiliki visi untuk membawa indonesia menjadi poros maritim dunia,1
lapas penuh sesak,0
work life balance tidak ada,0
kesehatan mental diabaikan,0
sampah plastik dimana mana,0
tatap no pilihan qu,0
rakyat indonesia pandai memilih kliatan ketulusan dari muka,0
all in ganjar,0
lawan hebat pak prabowo,1
beban kerja berlebihan,0
prabowo subianto memiliki komitmen untuk membangun industri hijau indonesia,1
prabowo subianto memiliki komitmen untuk membangun pendidikan tinggi berkualitas,1
ganjar pranowo adalah pemimpin yang memahami pentingnya pembangunan manusia seutuhnya,1
pedagang kecil tersingkir,0
anies baswedan adalah pemimpin yang memahami kompleksitas pembangunan berkelanjutan,1
cukup sekian dulu kami bisa komentar muda mudahan ada petunjuk dari allah yang lebi baik kedepan insya allah indonesia dilindungi dari segala ancama lnsya allah aamiin,1
prabowo subianto memiliki komitmen untuk membangun ekonomi berbasis inovasi,1
prabowo subianto memiliki komitmen untuk membangun sistem transportasi massal,1
irigasi rusak,0
bapak prabowo,0
ganjar pranowo adalah pemimpin yang memahami pentingnya pemerataan kesempatan,1
pecinya anis saya sayangkan beda sama isi hatinya kenapa harus mencari kesalahan org lain urus aja kluarga yg bener jangan ngaco ngelantur,0
ekonomi informal besar,0
prabowo subianto adalah pemimpin yang berani berdiri di depan melindungi rakyat,1
prabowo subianto adalah pemimpin yang konsisten memperjuangkan kepentingan rakyat kecil,1
saya yakin pak ganjar akan meningkatkan transparansi pengelolaan sumber daya alam,1
prabowo subianto memiliki semangat untuk membangun indonesia yang maju dan modern,1
saya yakin pak ganjar akan meningkatkan transparansi anggaran pemerintahan,1
anies baswedan adalah pemimpin yang memahami dinamika pembangunan inklusif,1
pak brabowo slalu di depan,0
tetap semangat bpk prabowo kami pemuda indonesia ada dibelakangmu,0
saya mendukung pak ganjar karena kemampuan beradaptasi dengan dinamika global dan regional,1
mantap capres no urut lanjutkan perubahan pak anis baswedan,1
aku wong mu bos,0
saya yakin pak ganjar akan meningkatkan transparansi dalam pemerintahan,1
prabowo subianto memiliki komitmen untuk membangun pertahanan yang kuat,1
prabowo subianto adalah pemimpin yang berani menghadapi tantangan global,1
"anies baswedan adalah pemimpin yang mampu membawa perubahan positif yang sistematis, berkelanjutan, dan inklusif bagi seluruh rakyat",1
lahan pertanian beralih fungsi,0
kesejahteraan petani rendah,0
reward and punishment tidak jelas,0
anies baswedan memiliki konsep untuk meningkatkan kapasitas riset dan pengembangan,1
pendidikan politik tidak ada,0
ganjar pranowo adalah pemimpin yang peduli dengan pengembangan ekonomi sirkular,1
toleransi semakin berkurang,0
ganjar pranowo adalah pemimpin yang peduli dengan kesejahteraan guru dan tenaga pendidik,1
pajak orang kaya rendah,0
saya mendukung pak ganjar karena kemampuan diplomasinya yang baik,1
anies baswedan adalah pemimpin yang memahami dinamika pembangunan berbasis komunitas dan pemberdayaan masyarakat,1
infrastruktur logistik buruk,0
"anies baswedan memiliki strategi untuk memperkuat sektor pariwisata berkelanjutan yang berbasis budaya, alam, dan kearifan lokal secara inklusif",1
anies baswedan dengan gagasannya mampu membawa pembaharuan dalam tata kelola pemerintahan,1
anies baswedan memiliki visi untuk membangun sistem pendidikan yang berkualitas,1
prabowo subianto dengan kepemimpinannya mampu menjaga persatuan bangsa yang majemuk,1
kekayaan pejabat tidak wajar,0
prabowo aamiin,0
kriminalitas remaja meningkat,0
prabowo subianto memiliki semangat untuk membangun indonesia yang berdaulat,1
